@relation C__Users_Matilde_Desktop_GitHub_datamin_GenrePrediction_dataset

@attribute text string
@attribute @@class@@ {Action,Adventure,BoardGames,Educational,Fighting,Puzzle,Racing,RPG,Shooter,Simulation,Sport,Strategy}

@data
'clown curs except one need save world evil clown cure confetti dont forget rate game play music asset pack control move space confetti tip use confetti move differ powerup get cure clown red balloon dog extra blue balloon dog extra speed confetti balloon dog shorter confetti cooldown',Fighting
'game collect game app top app itun appstor unit state australia germani franc itali spain mani countri game tast one pack puzzl game fast pace arcad action race sport cook shoot sudoku mani mani collect enough satisfi game need support languag english french german italian spanish russian chines japanes subscrib www youtub com nordcurr new video trailer join www facebook com nordcurr particip competit win prize fun',Puzzle
'first game use uniti game engin tri make game learn even itch pleas support parteon support link bellow control use right arrow left arrow movement play control rule dont touch red object touch blue warn first game develop prototyp mode claim right make music asset game use support patreon support youtub',Racing
'sword shield hand fight way along sword fight experi exclus pleas note act serv proof concept fight system need help develop amaz game tri friend famili send feedback upcom episod bigger term content play time experi take around minut complet reach end aliv game develop cyberith gmbh lead develop pierr merci',RPG
'exerion shoot game releas jaleco player must grappl inerti forc fighter within pseudo space proper use dual singl beam weapon destroy incom enemi arcad archiv seri faith reproduc masterpiec classic arcad game system take advantag addit featur system offer player share play screen video share featur also compet player onlin improv stand onlin score rank leaderboard pleas enjoy masterpiec built generat video game addit hardwar requir remot play player dualshock remot play video output softwar subject licens playstat com softwarelicens onlin activ subject term servic user agreement www playstationnetwork com term servic one time licens fee play account design primari system system sign account hamster claric game',Shooter
'ahlman arcad collect game made game industri student ahlman institut game made ten month long school year joint effort programm graphic design time spent develop game vari made week other take ten week develop game divers select differ genr rang color platform collect thon sport game horror mysteri race game bullet hell mania found consol cabinet scatter insid ahlman arcad tri find play ahlman arcad behold main project room place valu treasur game project take nostalgia gamer room arcad hall play game old school consol cabinet visit museum graphic look artwork graphic design made find hidden basement see horror await within list main project room race clock friend deadlin local split screen multiplay look bird boulder bullet hell adventur dragon fodder delv deep gruesom horror stori home gamer room help doctor nestor save destroy last anim kind post apocalypt world nestor ark enjoy basebal theme classic platform ballcat homerun jump leav star see high corgi jumper collect berri low poli sceneri fox berri adventur escap fate child toy sneak around patrol robot ungift bunni arcad hall disc golf experi unlik ever version publish separ join grumpi potato quest save spud potato runner play nerv wrack game cat mous bullet hell mania top hat cat avoid barrel tree tabl bear run woman runner test dodg skill spooki bullet hell shadow glider thank mentor risto koskenkorva help everyth program implement bug fix blender forth jani rajahalm carri ahlman arcad end programm antti terva lead program project manag level edit ahlman arcad nestor ark dragon fodder fox berri adventur shadow glider top hat cat ungift bunni jaakko palm program ahlman arcad nestor ark home jani rajahalm lead program project manag lead ahlman arcad ballcat homerun deadlin disc golf experi jann happonen program ahlman arcad corgi jumper dragon fodder joel keskinen program ahlman arcad deadlin laura halsinaho program ahlman arcad home jasan uni woman runner marko salo lead program project manag level edit ahlman arcad corgi jumper nestor ark dragon fodder jasan uni ungift bunni mikael program ahlman arcad deadlin sebastian johansson program ahlman arcad corgi jumper nestor ark dragon fodder fox berri adventur top hat cat vili lead program level edit ahlman arcad home potato runner graphic design aki immonen art level edit voic act ahlman arcad disc golf experi nestor ark home top hat cat ungift bunni eeva vallin art ahlman arcad nestor ark home top hat cat essi rssinen design art voic act ahlman arcad deadlin disc golf experi home jasa paavolainen lead graphic design project manag lead art voic act ahlman arcad deadlin home jasan uni jenna virtala art ahlman arcad ballcat homerun nestor ark dragon fodder top hat cat juho mustonen art ahlman arcad home woman runner juho nen art textur ahlman arcad deadlin disc golf experi lotta karvonen art ahlman arcad corgi jumper disc golf experi nestor ark dragon fodder fox berri adventur ungift bunni oona liukkonen art ahlman arcad home jasan uni potato runner otto kyl nlahti art ahlman arcad corgi jumper deadlin disc golf experi shadow glider petro haukkovaara game test concept design deadlin jasan uni ungift bunni special thank graphic teacher lassi rinn ahlman institut well programm monodevelop uniti api visual studio graphic design adob illustr adob photoshop blender gimp substanc design substanc painter',Simulation
'autumn park mini golf first person miniatur golf game set scenic park smooth jazz piano set help set mood think youll enjoy time relax explor park play trick shot reward base well play game autumn park mini golf keep come back finish game par support english languag howev game littl way text spoken compon instead game reli intuit gameplay style understand miniatur golf normal play',Sport
'alpha kimori great doubt episod one first trilog bright color japanes anim inspir stori driven episod role play game featur intric action adventur epic stori delight mix sci fantasi element stori alpha kimori set year alien invas earth newli discov planet kimori play host two war human faction bidarian want reclaim earth jinrian content new home even bidarian destroy mighti robot intellig cybernet armor rica technolog jinrian defend planet abil transmut coloss indigen creatur amidst turmoil young bidarian warrior rick fall love jinrian princess yuki pleas download free demo thank support steam greenlight get alpha kimori greenlit want win free copi alpha kimori steam post best alpha kimori fan art creativ content featur receiv free alpha kimori steam key featur cute japanes anim inspir graphic full sprite battl anim engag sci fantasi love triangl interact novel storylin lot twist turn life bar escap option combat classic japanes rpg turn base battl give player time strategi skill anim battl element special effect four visibl parti member switchabl lead charact avoid combat visibl enemi player never lost quest journal theme song sung popular vocaloid charact hatsun miku compos yossi hour averag gameplay time',Strategy
'solo dev darx reach earth compet global scoreboard best time control move space boost advanc cell shader unreal marketplac progress bar textur reus anoth project asteroid textur googl imag saturn ring textur googl imag font piscoffinsandghost sfx sound music kielokaz open horizon everyth els made jam',Action
'fix log chang post jam deadlin fix crash leav tutori area bad free method known bug player face right even head left credit meibo programmingelink programmingcisx write sfxfrerobin musicashtrail art write',Adventure
'belov mahjong game got new look enjoy classic gameplay popular tile match strategi explor beauti town greenvill discov stori beauti thrive town greenvill edg ecolog catastroph walker anim famili travel allow happen hurri greenvill see cover pungent mist smog local river pollut industri wast fish bird vanish caus disast extract compani evil inc pollut environ togeth walker restor land water plant flower tree bush stock pond fish craw fish cruel boss evil inc stand way tri stop restor town enough courag challeng save greenvill natur ecomahjong fascin color game age favorit charact intric woven plot unexpect outcom lot fun much await greenvill featur classic mahjong puzzl level explor clear sharp tile design fascin stori full twist',BoardGames
'buzz whizz bee educ game develop manti digit art origin releas publish manti digit art buzz whizz bee avail android',Educational
'game made shenanijam theme cursema join friend wrestl battl royal match play christma present select one wrestler ring press correspond button gamepad move charact rope charg charact like slingshot releas launch charact rope tri smash oppon send fli ring last gift stand ring win addit assetsaudio gamesound xyz asset kenney icon xelu vfx advancedmagicfx firework pack',Fighting
'puzzl platform youll play assist mad scientist professor splattunfud scientist inventor weapon manufactur question saniti near end career devot terribl recip book focus death destruct enemi prefer use stylish method possibl unfortun laboratori accid result destruct first draft assist piec fragment back togeth evil professor grown vat full helpless creatur known splatt use aid rang experi come use murder creativ generous help weaponri pass knowledg physic larg dose violenc poor helpless splatt youll help professor rewrit classic book recip titl way die',Puzzle
'food rebel sure furious break fast frantic race breakfast food rule goal win possibl humili ravag adversari wait let stop second talk serious much play ruin friendship serious buy game want keep friend still want continu read say warn break fast pull togeth best aspect classic multiplay game like mario kart super smash brawl join uniqu game experi satisfi thrill race gain experi point unlock new food one surpris nourish last mention excit new scenario tournament play local multiplay friend enough also play onlin unknown food internet even better mix crush friend sit couch unknown player internet time break fast limit good breakfast share mani peopl possibl clear like breakfast competit multiplay game like mario kart switch look game break fast breakfast race game local multiplay player onlin mode player even better play friend famili sever stranger internet good breakfast deserv share one share food play alon cpus challeng unknown limit dark soul walk park delici gameplay simpl profound game easi learn access still complex demand advanc player endear charact love control hate attack middl ground custom game experi want short race countdown finish line prefer experi excit tournament race count journey winner podium cut edg graphic cartoonish style delici want munch meal never see bacon strip definit kafkaesqu situat make reflect life come profound conclus sometim one must backward win see blue glove know talk say breakfast import meal day believ fair peopl abl enjoy studio sale ngo world food program tale studio small spanish studio found manuela ruiz francisco moyano artist programm game respect also receiv help david marisc programm especi work make onlin mode possibl liver moya charg music sound effect definit might high come indi game low budget net oper profit tax nopat',Racing
'digit delux edit delux digit artbook soundtrack game gameacaratus turnbas tactic rpg set mediev steampunk world build fight mechan battl suit help adina free enslav peopl oppress emperor helio stori sinc valerian conflict end land rule emperor helio rich slave dealer call adina unwil becom leader small rebellion oppress start recruit slave fight back regim process set exampl human right featur deep tactic turn base gameplay mediev mech explor vast random map random encount surpris construct battl suit modular attach find collect card fit play style fight player battl arena',RPG
'front line action game releas taito alon must use pistol grenad take group hostil also combat enemi climb blue tank armor vehicl battlefield arcad archiv seri faith reproduc mani classic arcad masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game remot play requir vita system suffici robust connect player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account taito corpor right reserv arcad archiv seri produc hamster',Shooter
'ahro one warrior chronicl adventur game tell way young warrior restor peac order world destroy global war game stori told seri task charact perform help dragon stationari mobil turret various mechan charact join ilab twitter see news updat',Simulation
'avatar golf sport game develop barker crest studio origin releas microsoft publish game avatar golf avail xbox',Sport
'alpha lyra vega brightest star northern constel lyra star relat close light year sun send alpha lyra system first object explor transmit data back',Strategy
'nightmar hakurei teacup touhou project fan game simpl action shoot game game complet free game support english let enjoy',Action
'open world grow tap game drift girl fun tap rpg fish game adventur drift girl world submerg water cure insomnia beauti sound sea home page game introduct surviv girl drift around world submerg water new open world game daerisoft popular googl play game develop let fish explor world never seen game featur first releas colleg student develop team team tapa pleas expect content updat communic game communic user make fun game togeth true could believ first either new game drift tomorrow true start play without think heal game heal mind beauti sound effect true cure year insomnia beauti game learn amaz fish around world true never seen fish like lol fish rpg fun fill tap rpg fish game infinit collect heal heart soft color graphic sound everi review leav encourag make better game thank',Adventure
'egypt solitair match card isnt card game real journey uniqu card deal mysteri egyptian atmospher help immers stori ancient time game sure enjoy play patienc game like solitair spider pyramid klondik medici vampir diamond nine fool three heart freecel half moon golf three tower yukon forti thiev scorpion tower canfield algerian montana eight calcul clock king queen knave whatev form solitair play alway fun gameplay withstood test time archaeolog dig ancient place alway unpredict never know surpris may await learn archaeologist courag adventur spend time explor ancient place egypt search old artifact treasur prove best first reveal secret ancient pyramid solv mysteri pharaoh egypt solitair match card creat love adventur unusu deal find quick match pair card special multipli increas reward buy bonus coin shuffl mulligan joker collect requir amount gold card use unlock follow pack choos difficulti mode profession mode true challeng solitair connoisseur pleasant music premium qualiti graphic help immers atmospher ancient world sit twiddl thumb onward adventur solitair egypt match solitair card game new player expert alik uniqu game mechan choos pair card use bonus joker mulligan shuffl collect gold card complet level unlock next area collect bonus card get extra coin bonus pick card faster increas combo multipli get coin locat level sever game difficulti mode dare player special task color trophi premium qualiti graphic creat atmospher adventur origin theme deck card back beauti music help relax concentr game',BoardGames
'cairo tale big egg anim short adventur young mage cairo best friend clustercluck cairo youngest member big mage famili bobo born great talent good magic creation cairo concentr one thing long like play trick live leisur take nap meadow favorit part day bare see growth magic power clustercluck brought cairo father cairo babi fellow backstori mysteri affect best friend nanni cairo clustercluck quit light heart poor memori like sing song nobodi understand one day giant egg fall break roof cairo fli hous front cairo clustercluck though afraid decid figur happen',Educational
'children cant wait cursema time decid get evil present get good one push present chimney throw oppon present away let gun help dev note game stuck happen sometim gift stuck behind screen press next level game theme cursema eye achiev tango healthi live person achiev first ever game jam complet music sound effect art charact present cover input layout ourself env',Fighting
'pikachu dead yes brain tickler your see along ghost use digit stream bit futur call blood recreat everyth malleabl substanc project comput massiv interstellar network run faster speed light order simultan exist everi moment time exact way effect creat new dimens experi timeless joy video game press button watch impact action instantan reson etern across infinit landscap master constant regener univers supplant realiti imagin give profound new mean phrase goe around come around come around manifest thought awar thought thought action done revolutionari save year recycl past helm futur tip finger',Puzzle
'master speeder defeat pursuer high speed action across world ravag alien occup fli breakneck speed pursu mission get far world occupi invad hunt scrambl unfamiliar terrain dodg obstacl evad captur destruct retrac optim rout improv distanc test limit control earn reward risk take fli rank higher keep mission depend breakneck featur thrill action gameplay speed hostil world build distanc collect suppli daili week mission test abil play collect new kit custom speeder awesom graphic environ depict ravag post invas landscap environ reset daili alway new path challeng master week tournament leaderboard compet survivor boost unlock ship upgrad help tackl ever evolv challeng phantom ship last best daili run race beat best score new origin soundtrack music artist kadington love hear player twitter drop line pikpokgam join convers breakneckgam',Racing
'svart alfheim acceler world begun merg midst chao yui gone miss kirito must challeng seven king pure color acceler world gain access locat version game includ dlc castaway anoth world recruit favourit charact among larg roster anim novel seri take sky use fli abil deploy magic sword skill perform outstand aerial strike defi graviti hyper jump skill acceler movement give coup grace unit fight fierc onlin multiplay featur multipl mode support player',RPG
'heroic episod shoot game releas irem peopl mule face destruct hand gasp empir control heroic soldier ground air battl way retriev stolen goddess statu util maser normal shot power shot wage battl arcad archiv seri faith reproduc mani classic arcad masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game',Shooter
'ever dreamt command ton vessel navig high sea test improv skill fun somewhat realist version profession ship simul use main engin bow aft side thruster take anchor handl tug suppli vessel aht oil rig hold steadi second crew rail anchor bewar ufo tractor beam fire put adjust weather condit two water gun help attack alien laser weapon weak make excit experi realist control bewar captain aht vessel expens tri collid sink control control set main engin throttl turn wheel get oil rig give aft bow thruster push turn bow aft ship respect direct fine navig use control side button switch water gun mode help fire ufo goal steer ship oil rig avoid traffic put fire use water gun keep ship within mark area second good luck sailor hotkey push number calm heavi storm chang weather start menu restart simul warn aht simul faint sea sick stormi weather condit thing may get uncomfort',Simulation
'everi year best flail fighter around globe gather tan seclud tropic island battl one true flail master victori tame unpredict power flail also battl friend devic pleas dont practic flail techniqu live room next mother ornament',Sport
'ever want experi cloud mine home exchang currenc alc usd use later upgrad bill pay possibl altcoin simul game right two way mine virtual crypto currenc manual mine press mani time want manual mine currenc convert alc usd buy energi drink increas manual mine speedcloud mine via autom mine machin amm turn amm mine without extra work upgrad gpu ram cpu increas hashrat speed keep electr bill make sure power shut downour roadmap ideal goal creat virtual network steam user abl mine upgrad equip also interact right littl team look best solut handl server side connect make player abl transfer virtual currenc word exchang player simul actual crypto currenc market estim idea final fulli implement end februari sooner maco linux support shall avail within week initi altcoin releas pleas note pleas note altcoin actual crypto currenc rather fun way spend time simul market enjoy pleas leav feedback steam sub forum',Strategy
'plagu tale innoc playstat xbox one tell grim stori two sibl fight togeth surviv darkest hour histori new video game asobo studio send emot journey centuri franc gameplay combin adventur action stealth support compel stori follow young amicia littl brother hugo face brutal ravag world discov purpos expos dark secret run inquisit soldier surround unstopp swarm rat incarn black death amicia hugo learn know trust struggl live odd origin power tale follow trip young nobl amicia rune ador yet smart brother hugo surviv great enigmat danger brutal unforgiv world black plagu appear dead swarm rat indiscrimin devour everyth path seamless blend adventur stealth gameplay deepli embed dark mediev mysteri',Action
'brutal murder taken place old home locat sattlewen three girl brutal murder home polic call violent crime ever happen citi young anna age intrigu happen decid investig hous upon arriv old abandon premis anna set two camera begin investig home hope gather data may prove import unfortun noth quit seem right learn terrifi thing whole time anna determin noth appear end horribl truth reveal import decis must made realli case known girl fabric face point time final say confid game complet quit good massiv wreck mind eye abl gather quit nice amount input lot player given suggest complaint support creat girl fabric face work quit long time believ say confid game proper horror game game focus far suspens adventur anyth els asid form overal stori believ everyth flow well base mani suggest complaint major differ game comparison mind eye achiev total substanti reduc wander substanti increas player interact differ end greater perform visual overal gameplay immers environ keep wonder secret game wonder littl easter egg believ game turn success eye develop rough year date confid say best titl yet hope feel way futur involv game plan involv virtual realiti support mobil support come depend success window launch inform later end long talk want say thank support thank everyon download game truli hope find enjoy solv end thank happi game pleas note game play one time sit game save estim gameplay time min rough hour achiev end solv puzzl thus achiev achiev best luck feel free email question concern also pleas note game contain flash light also strong recommend one heart condit anxieti stroke seizur anyth sort play game game extrem high suspens includ scare increas heart rate includ sens uncomfort play game acknowledg play risk best regard stan',Adventure
'offici version board game eight minut empir ryan laukat award honor golden geek best famili board game nomine golden geek best print play board game nomine gioco dell anno nomine hra roku nomine build empir around eight minut recruit troop strengthen armi command forc acquir new provinc challeng friend world sail across sea build castl expand empir elimin enemi troop weaken adversari collect good increas advantag eight minut empir ryan laukat quick civil explor game use card driven area control eight minut empir player take turn select card six display card give player resourc also action player take immedi action help player take map resourc worth point end game player balanc two aspect player spread across map order collect point end game major control region contin eight minut empir super quick area control game requir tough decis easi learn perfect minut featur offici eight minut empir game great artwork ingam interact tutori languag english german dutch polish french spanish italian korean japanes chines tradit simplifi russian optim smartphon tablet play friend pass play mode onlin multiplay synchron asynchron mode oppon last move replay level difficulti individu strategi differ map climat sound music offici rule plus extra addit uniqu origin board game feel electron devic colorblind mode achiev',BoardGames
'made youtub tutori seri check ever want learn vector calculus see crazi parametr function newton invent discov calculus live simul question experi may abl answer calcflow open mind mathemat explor secret univers everyth start math calcflow featur intuit way learn foundat vector calculus final explain complex vector calculus friend manipul vector hand explor vector addit cross product see feel doubl integr sinusoid graph mobius strip normal spheric coordin creat parametr function vector field dont worri mean like crazi mumbo jumbo alway explor awesom preset sampl problem also creat note your explor amaz mathemat properti simpli push track pad write away',Educational
'enter battl chef cutthroat kitchen cook differ recip gain power grab friend play local multiplay credit kati moulton preston taylor julian kida grace orourk andrew pham',Fighting
'trap hous killer await outsid got turn escap break use arrow key move charact mous access object inventori take action like look item use item combin item first find car key back door key get hell haus',Puzzle
'simpl race game avoid car base famous game brickgam made pixel vision',Racing
'stori year mechan robot common call gear develop militari applic sinc versatil function led becom commonplac commerci use also spawn entir sport entertain industri preval use popular gear creat new academ field known cenorobot due unforese circumst protagonist find transfer ace academi premier school cenorobot studi japan struggl find team will accept outdat american gear compet intramur tournament compar sleek robust advanc technolog japanes counterpart search feel utter hopeless find group pilot desper enough anoth member stori begin ace academi comedi centric slice life visual novel sci romanc element hundr choic avail experi storylin interact charact much person way key featur fhd artwork develop full pan artwork creat resolut higher avoid zoom end result clearer sharper graphic uniqu playthrough hundr choic craft person stori nurtur romant platon relationship varieti branch path fulli voic act ace academi featur complet english voic cast origin soundtrack origin soundtrack homag bonus welcom ace academi',RPG
'magmax shoot game releas nichibutsu player power fighter dock part field becom heroic fli robot face face diabol mechan monster babylon save human race arcad archiv seri faith reproduc masterpiec classic arcad game system take advantag addit featur system offer player share play screen video share featur also compet player onlin improv stand onlin score rank leaderboard pleas enjoy masterpiec built generat video game addit hardwar requir remot play player dualshock remot play video output softwar subject licens playstat com softwarelicens onlin activ subject term servic user agreement www playstationnetwork com term servic one time licens fee play account design primari system system sign account hamster',Shooter
'updat wake tini person giant woman play tri stay aliv contrl arrow mous rightshift pick use objectsc camraesc close open menu window window higher ghz dual higher processor avail hard drive space ramnvidia geforc',Simulation
'pleas note game still much develop need great number player abl tri thing aim also look input make great parti game aviat fast pace high competit parti game play onlin team player side crash crash battl highest score time run challeng team aviat onlin chaotic entertain game fanci power steer skill time limit amount live clock round use wise secur point cover team mate make ultim sacrific greater good team role play grab control high recommend call least friend take sky aviat',Sport
